OBJECTID,PUBLIC_NAME,PARENT_NAME,OFFICIAL_NAME,LABEL,ALIAS,DPP_ASSET_ID,ADDRESS_911,ZIP_CODE,ADDRESS_BRT,ALIAS_ADDRESS,BLD_CLASSIFICATION,BLD_TYPE,HISTORIC,BLD_ACCESS,FLOOR_COUNT,INTERIOR_SQUARE_FOOTAGE,PPR_DISTRICT,PPR_OPS_DISTRICT,COUNCIL_DISTRICT,POLICE_DISTRICT,PROGRAM_SITES,COMMENTS,Shape__Area,Shape__Length
206,Bernard Samuel Recreation Center,Bernard Samuel Playground,Bernard Samuel Recreation Center,Samuel Rec Center,"Recreation District HQ, Fox Square",938,3539 GAUL ST,19134,2501 E TIOGA ST,"2501 E TIOGA ST, Tioga & Gaul",BUILDING,RECREATION_BUILDING, ,PUBLIC,0,14079,5,2,1,24,Y, ,1593.94921875,184.523772332815
207,Woodford Caretakers House,East Fairmount Park, , ,"Woodford Caretaker's House;Woodford Outbuilding",1508,2388 GREENLAND DR,19132,2500 SPRING GARDEN ST,"3400 WOODFORD DR;33rd St and Dauphin St;2500 SPRING GARDEN ST;2300 N 33RD ST ",BUILDING,OFFICE,Y,CONDITIONAL,0,0,7,5,4,22,N,Woodford Mansion Historic House Premises,80.671875,39.2790324850966
208,East Park Canoe House,East Fairmount Park, ,East Park Canoe House,Temple Boathouse,1035,2400 KELLY DR,19121,2500 SPRING GARDEN ST,"2400 JOHN B KELLY DR;Strawberry and Kelly Dr;2500 SPRING GARDEN ST;2368 KELLY DR",BUILDING,ATHLETIC,Y,CONDITIONAL,0,0,7,5,4,22,N,"Located on west side of Kelly Drive, south of Strawberry Mansion Bridge.",1562.66796875,198.429963604495
209,Power House,Organic Recycling Center, , , ,1509,3850 FORD RD,19131,3401 W GIRARD AVE,3401 W GIRARD AVE,STRUCTURE,OPERATIONS,N,STAFF_ONLY,0,0,7,5,4,16,N,Located in West Fairmount Park,22.56640625,19.0308993277014
210,District Office (West Fairmount Park),Organic Recycling Center, ,District Office (Fairmount),District #5 Offices,1288,3850 FORD RD,19131,3401 W GIRARD AVE,3401 W GIRARD AVE,BUILDING,OFFICE,,STAFF_ONLY,2,0,7,5,4,16,N,Located in West Fairmount Park,867.8125,127.402504626648
211,John C Anderson Cultural Center,John C Anderson Cultural Center,John C. Anderson Cultural Center,J Anderson Cultural Center,John Anderson Playground,516,5323 OVERBROOK AVE,19131,5325 OVERBROOK AVE,"5235 OVERBROOK AVE;5391 OVERBROOK AVE",BUILDING,RECREATION_BUILDING,N,PUBLIC,0,9960,8,8,4,19,Y, ,792.2890625,128.678845577598
212,Strawberry Mansion,East Fairmount Park,Strawberry Mansion,Strawberry Mansion, ,1036,2485 STRAWBERRY MANSION DR,19132,2500 SPRING GARDEN ST,"2450 STRAWBERRY MANSION BRIDGE DR;2450 Strawberry Mansion Dr;2500 SPRING GARDEN ST",BUILDING,MUSEUM,Y,CONDITIONAL,4,11000,7,5,4,22,N,Strawberry Mansion Historic House Premises,650.15625,148.110648156376
213,Cecil B Moore Recreation Center,Cecil B Moore Recreation Center,Cecil B. Moore Recreation Center,CB Moore Rec Center,"C.B. Moore; Connie Mack Playground",1163,2563 N 22ND ST,19132,2020-50 W LEHIGH AVE,"2020-50 W LEHIGH AVE, 2551 N 22ND ST, 20th & Lehigh, 2501 N 22ND ST",BUILDING,RECREATION_BUILDING, ,PUBLIC,1,24713,6,6,5,22,Y, ,1901.97265625,275.939736418118
214,Recycling Center Office,Organic Recycling Center, , , ,1510,3850 FORD RD,19131,3401 W GIRARD AVE,3401 W GIRARD AVE,BUILDING,OFFICE,N,STAFF_ONLY,1,0,7,5,4,16,N,"Located in West Fairmount Park; Tree Mainteance Crew Office",62.3828125,35.7620406267406
215,Recycling Center Weigh Station,Organic Recycling Center, , , ,1511,3850 FORD RD,19131,3401 W GIRARD AVE,3401 W GIRARD AVE,BUILDING,OFFICE,N,STAFF_ONLY,1,0,7,5,4,16,N,Located in West Fairmount Park,163.1328125,51.1458809614465
216,Belmont and Edgley Fields Shed,Belmont and Edgley Fields, , ,"Cricket/Archery,Edgley Ultimate;Frisbee & Archery",1277,4070 EDGLEY AVE,19131,3401 W GIRARD AVE,"4105 EDGLEY AVE, 4001 EDGELEY DR; 3401 W GIRARD AVE",BUILDING,OPERATIONS,N,STAFF_ONLY,1,0,7,5,4,16,N,Located in West Fairmount Park,37.59765625,24.5283439769283
217,Belmont and Edgley Fields Clubhouse,Belmont and Edgley Fields, , ,"Cricket/Archery Field,Edgley Ultimate Fields",1037,4070 EDGLEY AVE,19131,3401 W GIRARD AVE,"4105 EDGLEY AVE, 4001 EDGELEY DR; 3401 W GIRARD AVE",BUILDING,CONCESSIONS, ,PUBLIC,3,0,7,5,4,16,N,Located in West Fairmount Park,310.33984375,86.9692800496418
218,Nursery Tool House,West Fairmount Park, , , ,2872,3850 FORD RD,19131,3401 W GIRARD AVE,3401 W GIRARD AVE,BUILDING,GREENHOUSE,Y,STAFF_ONLY,1,0,7,5,4,16,N,Located on the Greenland Nursery Complex. Tool House with Greenhouse attached.,179.3828125,68.7633492416186
219,Nursery Building,West Fairmount Park, , , ,1361,3850 FORD RD,19131,3401 W GIRARD AVE,3401 W GIRARD AVE,BUILDING,OFFICE,Y,STAFF_ONLY,1,0,7,5,4,16,N,Located on the Greenland Nursery Complex.,78.2265625,36.6033401441543
220,Restrooms,Dell Music Center, , ,Robin Hood Dell East Cashier Building,1516,3101 STRAWBERRY MANSION DR,19132,2500 SPRING GARDEN ST,"3501 STRWBRRY MN. BR DR, Ridge & Huntingdon;3300 W Huntington;2400 Strawberry Mansion Dr",BUILDING,COMFORT_STATION,N,CONDITIONAL,0,0,7,5,4,22,N,Located in East Fairmount Park. ,341.453125,116.402910802265
221,Box Office Entrance,Dell Music Center, ,,Robin Hood Dell East Entrance Gate,1517,3101 STRAWBERRY MANSION DR,19132,2500 SPRING GARDEN ST,"3501 STRWBRRY MN. BR DR, Ridge & Huntingdon;3300 W Huntington;2400 Strawberry Mansion Dr",BUILDING,CONCESSIONS,N,CONDITIONAL,0,0,7,5,4,22,N,Located in East Fairmount Park. ,923.93359375,201.696470831708
222,Dell Music Center Amphitheater,Dell Music Center, ,Amphitheater,"Robin Hood Dell East,Georgie Woods Entertainment Center",1038,3101 STRAWBERRY MANSION DR,19132,2500 SPRING GARDEN ST,"3501 STRWBRRY MN. BR DR, Ridge & Huntingdon;3300 W Huntington;2400 Strawberry Mansion Dr",BUILDING,PERFORMANCE_VENUE,N,CONDITIONAL,0,0,7,5,4,22,N,Located in East Fairmount Park. ,1640.5078125,218.242363058358
223,12th and Cambria Recreation Center,12th and Cambria Playground, ,12th and Cambria Rec Center, ,946,2900 N 12TH ST,19133,"1149 W CAMBRIA ST, 1127-33 W CAMBRIA ST, 1135-41 W CAMBRIA ST, 2900-30 N 11TH ST","1149 W CAMBRIA ST, 1127-33 W CAMBRIA ST, 1135-41 W CAMBRIA ST, 2900-30 N 11TH ST, 2915 N 12TH ST",BUILDING,RECREATION_BUILDING,N,PUBLIC,0,1272,6,3,5,25,Y, ,333.2734375,80.6977866916267
224,Lilacs House,West Fairmount Park,The Lilacs House,Lilacs House,The Lilacs,1039,3617 GREENLAND DR,19131,3401 W GIRARD AVE,"3600 GREENLAND DR;3401 W GIRARD AVE",BUILDING,OFFICE,Y,CONDITIONAL,2,0,7,5,4,16,N, ,357.0390625,84.2194154919717
225,Chamounix Tennis Courts House,Chamounix Tennis Courts, , , ,1290,3687 CHAMOUNIX DR,19131,3401 W GIRARD AVE,"3601 CHAMOUNIX DR;3250 CHAMOUNIX DR",BUILDING,OFFICE,N,CONDITIONAL,1,0,7,5,4,16,N,Located in West Fairmount Park,310.53125,73.0623437186652
226,29th and Chalmers Recreation Center,29th and Chalmers Playground, ,29th and Chalmers Rec Center, ,1367,2900 N 29TH ST,19132,3001 W LEHIGH AVE,"3001 W LEHIGH AVE;2800 CHALMERS AVE",BUILDING,RECREATION_BUILDING, ,PUBLIC,0,23902,6,6,4,39,Y,Land is owned by School District-PPR leases,1851.46484375,197.082018406259
227,Robert T Heitzman Recreation Center,Robert T Heitzman Recreation Center,Robert T. Heitzman Recreation Center,Heitzman Rec Center,Knight Playground,1112,3645 AMBER ST,19134,2136 CASTOR AVE,"Castor & Amber;3631 AMBER ST;2136 CASTOR AVE",BUILDING,RECREATION_BUILDING,N,PUBLIC,0,8254,5,2,1,24,Y, ,1408.00390625,162.959160285108
228,Heritage Park Recreation Center,Heritage Park Playground, ,Heritage Rec Center, ,786,1533 W CLEARFIELD ST,19132,1517-33 W CLEARFIELD ST,"1517-33 W CLEARFIELD ST,  1511-17 W CLEARFIELD ST, 1519 W CLEARFIELD ST",BUILDING,RECREATION_BUILDING,N,PUBLIC,0,458,6,4,8,39,Y, ,94.734375,48.4913730278492
229,Martin Luther King Drive Stone Picnic Pavilion,West Fairmount Park, , , ,1521,2760 MARTIN LUTHER KING DR,19131,3401 W GIRARD AVE,"2700 WEST RIVER DR;3401 W GIRARD AVE",STRUCTURE,COMFORT_STATION, ,PUBLIC,1,0,7,5,4,16,N,Picnic shelter with comfort station.,271.6015625,70.5106605030723
230,Ramonita Negron Rivera Recreation and Community Center,Ramonita Negron Rivera Recreation and Community Center,Ramonita Negron Rivera Recreation and Community Center,Rivera Rec Center,Mann Recreation Center,922,3201 N 05TH ST,19140,3201 N 5TH ST,5th & Allegheny,BUILDING,RECREATION_BUILDING,N,PUBLIC,2,33532,6,3,7,25,Y,Mann Older Adult Center is also located in this building.,3278.609375,344.428350748446
231,Woodside Recreation Center,Woodside Park,Woodside Park,Woodside Rec Center,"Wynnefield Heights, Conshohocken-Windermere",352,3918 CONSHOHOCKEN AVE,19131,3910-18 CONSHOHOCKEN AVE,"3910-18 CONSHOHOCKEN AVE, 3910 CONSHOHOCKEN AVE",BUILDING,RECREATION_BUILDING,N,PUBLIC,0,495,7,8,4,19,Y, ,220.72265625,63.3760710866337
232,Sergeant John J McVeigh Recreation Center,Sergeant John J McVeigh Recreation Center,Sergeant John J. McVeigh Recreation Center,McVeigh Rec Center,John J. McKinley Playground,648,3390 D ST,19134,400-64 E ONTARIO ST,400-64 E ONTARIO ST,BUILDING,RECREATION_BUILDING,N,PUBLIC,0,19125,5,3,7,25,Y, ,2380.40625,251.548211108224
233,James Allen Shuler Recreation Center,James Allen Shuler Playground,James Allen Shuler Recreation Center,Shuler Rec Center,Whittier Playground,658,3025 N 27TH ST,19132,2901 N 29TH ST,"2901 N 29TH ST, 27th & Clearfield, 3000 N 27TH ST",BUILDING,RECREATION_BUILDING,N,PUBLIC,1,1400,6,6,4,39,Y, ,273.37109375,68.4437813853506
234,Bridesburg Recreation Center,Bridesburg Recreation Center,Bridesburg Recreation Center,Bridesburg Rec Cemter, ,899,4625 RICHMOND ST,19137,4625 RICHMOND ST,"4649 RICHMOND ST, Richmond & Ash, 4601 RICHMOND ST",BUILDING,RECREATION_BUILDING, ,PUBLIC,0,21192,5,2,6,15,Y, ,2363.8125,225.382259457888
235,Vincent G Panati Recreation Center,Vincent G Panati Playground,Vincent G. Panati Recreation Center,Panati Rec Center, ,1041,3115 N 22ND ST,19132,3101-27 N 22ND ST,"3101-27 N 22ND ST, 22nd & Clearfield",BUILDING,RECREATION_BUILDING, ,PUBLIC,0,2027,6,6,8,39,Y, ,632.78125,103.472494089754
236,Chamounix Stables,West Fairmount Park, , ,Chamounix Stable/McCarthy Stable,1042,3271 CHAMOUNIX DR,19131,3401 W GIRARD AVE,"3250 CHAMOUNIX DR;3401 W GIRARD AVE",BUILDING,EQUESTRIAN, ,CONDITIONAL,2,0,7,5,4,16,N,Part of the Chamounix Equestrian Center Campus.,1880.75390625,266.838169507365
237,John (Steve) Schmidt Recreation Center,John (Steve) Schmidt Playground,John (Steve) Schmidt Recreation Center,Schmidt Rec Center, ,581,113 W ONTARIO ST,19140,113-23 W ONTARIO ST,"113-23 W ONTARIO ST, Howard & Ontario",BUILDING,RECREATION_BUILDING,N,PUBLIC,0,1390,6,3,7,25,Y, ,253.99609375,63.974975842467
238,Chamounix Carriage House,West Fairmount Park, ,, ,1043,3200 CHAMOUNIX DR,19131,3401 W GIRARD AVE,"3250 CHAMOUNIX DR;3401 W GIRARD AVE",BUILDING,CONCESSIONS,Y,CONDITIONAL,2,0,7,5,4,16,N,Currently leased for use as a hostel - Hostelling International,484.17578125,98.3671831535408
239,Chamounix Cottage,West Fairmount Park, ,, ,1044,3200 CHAMOUNIX DR,19131,3401 W GIRARD AVE,"3250 CHAMOUNIX DR;3401 W GIRARD AVE",BUILDING,RESIDENTIAL, ,STAFF_ONLY,2,0,7,5,4,16,N, ,132.98828125,46.1281294278836
240,Chamounix Mansion,West Fairmount Park, ,Chamounix Mansion, ,1045,3200 CHAMOUNIX DR,19131,3401 W GIRARD AVE,"3250 CHAMOUNIX DR;3401 W GIRARD AVE",BUILDING,CONCESSIONS,Y,CONDITIONAL,4,10800,7,5,4,16,N,Currently leased for use as a hostel - Hostelling International,552.0625,107.784565995381
241,Joseph A Scanlon Ice Rink,Joseph A Scanlon Playground,Joseph A. Scanlon Ice Rink,Scanlon Ice Rink,Webster Playground,1107,1099 E TIOGA ST,19134,1099 E TIOGA ST,Tioga & J,BUILDING,RECREATION_BUILDING,N,PUBLIC,1,6093,5,3,7,24,Y, ,5063.37109375,298.051667528737
242,Falls Road House Garage,West Fairmount Park, , , ,1362,3689 FALLS RD,19131,3701 NEILL DR,3599 CONSHOHOCKEN AVE,BUILDING,OPERATIONS, ,STAFF_ONLY,2,0,7,5,4,16,N, ,146.6171875,54.4186806633354
243,Juniata Park Older Adult Center,Juniata Park Older Adult Center,Juniata Park Older Adult Center,Juniata Older Adult Center, ,791,1231 E SEDGLEY AVE,19124,1231 E SEDGLEY AVE,1251 E SEDGLEY AVE,BUILDING,OLDER_ADULT_CENTER,N,CONDITIONAL,1,12000,5,3,7,24,Y, ,2244.73046875,203.430993664742
244,Jerome Brown Recreation Center,Jerome Brown Playground,Jerome Brown Recreation Center,Brown Rec Center,Kenderton Playground,770,1987 W ONTARIO ST,19140,1927-41 W ONTARIO ST,"1927-41 W ONTARIO ST, 1919-41 W ONTARIO ST, 1959 W ONTARIO ST",BUILDING,RECREATION_BUILDING,N,PUBLIC,0,572,6,4,8,39,Y, ,388.3515625,76.7323318128928
245,Bathey,East Fairmount Park,The Bathey,The Bathey,"The Trolley Car Cafe, Ferry Road Tool House",1047,3600 S FERRY RD,19129,3269 RIVER RD,"3849 S FERRY RD;3269 RIVER RD",BUILDING,CONCESSIONS,Y,PUBLIC,0,0,7,5,4,39,N,Official name is 'The Bathey'. Building footprint updated between 2017-2018.,532.1171875,102.836289197259
246,Harry S McDevitt Recreation Center,Harry S McDevitt Playground,Harry S. McDevitt Recreation Center,McDevitt Rec Center, ,777,3580 SCOTTS LN,19129,3500 CRAWFORD ST,"3186 SCOTTS LN;3501 SCOTTS LN;3531 SCOTTS LN;3500 CRAWFORD ST",BUILDING,RECREATION_BUILDING, ,PUBLIC,0,11297,4,4,4,39,Y, ,1931.65625,197.874296275007
247,Button,East Fairmount Park, ,Button,The Bachelor's Button,1048,4553 KELLY DR,19129,4530 RIDGE AVE,"4516 RIDGE AVE;4530 RIDGE AVE",BUILDING,CONCESSIONS,Y,CONDITIONAL,0,0,7,5,4,39,N,Bachelor's Barge Club leases out this building as an event space.,411.45703125,86.3425768698207
248,Button Shed,East Fairmount Park, , ,,1524,4553 KELLY DR,19129,4530 RIDGE AVE,"4516 RIDGE AVE;4530 RIDGE AVE",BUILDING,OPERATIONS,N,STAFF_ONLY,0,0,7,5,4,39,N, ,40.9765625,26.8583700242467
249,Gustine Tennis Complex,Gustine Recreation Center, , ,"Arthur Ashe Youth Tennis and Education Center, Legacy Tennis",1049,4700 RIDGE AVE,19129,4540 RIDGE AVE,"4540 RIDGE AVE, 4842 RIDGE AVE, 4868 RIDGE AVE",BUILDING,ATHLETIC,N,PUBLIC,0,126624,7,4,4,39,N,,9915.27734375,437.789085849648
250,Philadelphia Canoe Club,East Fairmount Park, ,Phila Canoe Club,Colony Castle,1050,4902 RIDGE AVE,19128,4600 RIDGE AVE,4900 RIDGE AVE,BUILDING,CONCESSIONS,Y,CONDITIONAL,3,1080,7,5,4,5,N,Philadelphia Canoe Club Premises,580.8359375,110.812545941692
251,Philadelphia Canoe Club Storage,East Fairmount Park, , , ,1525,4902 RIDGE AVE,19128,4910 RIDGE AVE,4900 RIDGE AVE,BUILDING,OPERATIONS, ,STAFF_ONLY,0,0,7,5,4,5,N,Philadelphia Canoe Club Premises,89.85546875,37.9273487532436
252,Gustine Recreation Center,Gustine Recreation Center,Gustine Recreation Center,Gustine Rec Center,Gustine Lake Rec Center,1051,4814 RIDGE AVE,19129,4540 RIDGE AVE,"4540 RIDGE AVE, 4868 RIDGE AVE,4700 Ridge Ave, 4842 RIDGE AVE",BUILDING,RECREATION_BUILDING, ,PUBLIC,0,12000,7,4,4,39,Y,,2394.16796875,206.491757477285
253,Philadelphia Canoe Club Shed,East Fairmount Park, , , ,1526,4902 RIDGE AVE,19128,4600 RIDGE AVE,4900 RIDGE AVE,BUILDING,OPERATIONS, ,STAFF_ONLY,0,0,7,5,4,5,N,Philadelphia Canoe Club Premises,203.203125,63.403835207707
254,Philadelphia Canoe Club Garage,East Fairmount Park, , , ,2866,4902 RIDGE AVE,19128,4600 RIDGE AVE,4900 RIDGE AVE,BUILDING,OPERATIONS, ,STAFF_ONLY,0,0,7,5,4,5,N,Philadelphia Canoe Club Premises,121.140625,44.8725828674749
255,Carmella A DiTizio Recreation Center,Carmella A DiTizio Playground,Carmella A. DiTizio Recreation Center,Carmella Rec Center,Whitehall Playground,225,2150 WAKELING ST,19124,2100 WAKELING ST,"2100 WAKELING ST, 2180 WAKELING ST",BUILDING,RECREATION_BUILDING, ,PUBLIC,0,1900,5,2,7,15,Y, ,569.38671875,129.973108303986
256,Boniface Piccoli Recreation Center,Boniface Piccoli Playground,Boniface Piccoli Recreation Center,Piccoli Rec Center, ,594,1500 E CAYUGA ST,19124,1501 E BRISTOL ST,"1501 E BRISTOL ST;O & Bristol",BUILDING,RECREATION_BUILDING,N,PUBLIC,1,1644,3,3,7,24,Y, ,445.234375,110.546847442968
257,Logan House,Hunting Park, ,Logan House, ,1052,4101 OLD YORK RD,19140,4101 OLD YORK RD,"1110 W HUNTING PARK AVE, 9th & Roosevelt",BUILDING,VACANT,Y,CONDITIONAL,4,6364,3,3,5,25,N, ,282.796875,67.6085355313914
258,Juniata Golf Clubhouse,Juniata Golf Club, , , ,1655,1299 E CAYUGA ST,19124,1101 E CAYUGA ST,"4400 M ST, Castor & Cayuga",BUILDING,GOLF,N,PUBLIC,0,0,3,3,7,24,N,Located in Tacony Creek Park,1546.11328125,193.424636289838
259,Joseph A Ferko Athletic Center,Joseph A Ferko Playground, , ,"Juniata Boys and Girls Club;Juniata Park",99999,1223 E CAYUGA ST,19124,1101 E CAYUGA ST,"1101 E CAYUGA ST, J & Cayuga",BUILDING,CONCESSIONS,N,CONDITIONAL,0,0,3,3,7,24,N,"Located in Tacony Creek Park;Leased Building for Boys and Girls Club",2217.90625,204.156418372094
260,Wissahickon Hall Shed,Wissahickon Valley Park, , ,Fairmount Park Operations,2876,4180 GYPSY LN,19129, ,"3600 LINCOLN DR;4301 GYPSY LN, 5793 LINCOLN DR",BUILDING,OPERATIONS,Y,STAFF_ONLY,1,0,4,4,4,39,N,Utilized by Fairmount Park Operations,40.83984375,25.7974056159119
261,Wissahickon Hall,Wissahickon Valley Park, ,Wissahickon Hall,Fairmount Park Operations,1054,4180 GYPSY LN,19129, ,"3600 LINCOLN DR;4301 GYPSY LN, 5793 LINCOLN DR",BUILDING,OFFICE,Y,STAFF_ONLY,3,11000,4,4,4,39,N,Utilized by Fairmount Park Operations,532.35546875,107.652451910079
262,Maintenance Building,Hunting Park, , , ,1055,1150 W HUNTING PARK AVE,19140,4101 OLD YORK RD,"1110 W HUNTING PARK AVE, 9th & Roosevelt;4101 OLD YORK RD",BUILDING,OPERATIONS,N,STAFF_ONLY,0,0,3,3,5,25,N, ,197.859375,56.2972240059023
263,Concessions Building,Hunting Park Recreation Center, , , ,1056,1099 W HUNTING PARK AVE,19140,4101 OLD YORK RD,"1110 W HUNTING PARK AVE, 9th & Roosevelt;4101 OLD YORK RD",BUILDING,CONCESSIONS,N,PUBLIC,0,0,3,3,5,25,N,Located within Hunting Park,281.31640625,70.832281450454
264,Hunting Park Recreation Center,Hunting Park Recreation Center,Hunting Park Recreation Center, , ,1057,1150 W HUNTING PARK AVE,19140,4101 OLD YORK RD,"1101 W HUNTING PARK AVE;9th & Roosevelt;4101 OLD YORK RD",BUILDING,RECREATION_BUILDING,N,PUBLIC,0,9000,3,3,5,25,Y,Located within Hunting Park,1300.94140625,162.805397015596
265,Victor J Moss Recreation Center,Victor J Moss Memorial Field,Victor J. Moss Recreation Center,Moss Rec Center,,4,5726 TORRESDALE AVE,19135,5700 TORRESDALE AVE,"5700 TORRESDALE AVE;Torresdale & Cheltenham",BUILDING,RECREATION_BUILDING,N,PUBLIC,1,1943,2,2,6,15,Y, ,413.41796875,89.5646036747003
266,Picnic Pavilion,Fernhill Park, ,,,1529,4600 MORRIS ST,19144,4600 MORRIS ST,"Abbottsford & Morris;4526 PULASKI AVE;500 W ABBOTTSFORD AVE",BUILDING,OTHER,N,PUBLIC,0,0,3,4,8,39,N,Picnic pavilion in the center of the park.,149.93359375,48.9984290545076
267,Pavilion,Fernhill Park, ,,Daycamp,1058,4600 MORRIS ST,19144,4600 MORRIS ST,"Abbottsford & Morris;4526 PULASKI AVE;500 W ABBOTTSFORD AVE",BUILDING,OTHER,N,PUBLIC,0,2570,3,4,8,39,Y,Day camp structure location along Morris St,203.78515625,70.5598010114596
268,Storage Building,David P Montgomery Field,,,"Daisy Fields, Daisy Day Camp",739,5366 HERMIT LN,19128, ,"620 HERMIT LA, Quentin & Vicaris, 5000 HERMIT LN",BUILDING,OPERATIONS,N,STAFF_ONLY,0,0,4,4,4,5,Y,Located in Wissahickon Valley Park,265.91015625,70.9761796498533
269,American Legion Recreation Center,American Legion Playground,American Legion Recreation Center,American Legion Rec Center, ,147,4801 DEVEREAUX AVE,19135,6201 TORRESDALE AVE,"6201 TORRESDALE AVE;Torresdale & Devereaux",BUILDING,RECREATION_BUILDING,N,PUBLIC,1,1247,2,2,6,15,Y, ,442.48828125,86.3435333623143
270,Library,Feltonville Recreation Center, ,, ,1059,231 E WYOMING AVE,19120,231-37 E WYOMING AVE,"231-37 E WYOMING AVE, 235 E WYOMING AVE",BUILDING,LIBRARY,Y,PUBLIC,0,9623,3,3,7,25,N,Constructed through Carnegie Funds,985.3828125,149.917230920549
271,Feltonville Recreation Center,Feltonville Recreation Center,Feltonville Recreation Center,Feltonville Rec Center, ,1205,283 E WYOMING AVE,19120,231-37 E WYOMING AVE,"231-37 E WYOMING AVE, 235 E WYOMING AVE",BUILDING,RECREATION_BUILDING, ,PUBLIC,0,20273,3,3,7,25,Y, ,1861.20703125,179.294146768969
272,Lauretha Vaird Athletic Center,Lauretha Vaird Fields, ,,"Tabor Rams Club;Lauretha Vaird Boys and Girls Club",1060,4800 WHITAKER AVE,19120, ,Whitaker & Loudon,BUILDING,CONCESSIONS,N,CONDITIONAL,0,0,3,3,7,25,Y,"Located in Tacony Creek Park; Building is for Boys and Girls Club",1972.8359375,213.048929256491
273,Private Alfred J Simpson Memorial Recreation Center,Private Alfred J Simpson Memorial Recreation Center,Private Alfred J. Simpson Memorial Recreation Center,Simpson Rec Center,,518,1010 ARROTT ST,19124,1010 ARROTT ST,"Arrott & Large;1000 ARROTT ST",BUILDING,RECREATION_BUILDING,N,PUBLIC,1,9000,3,3,7,15,Y, ,1686.09765625,206.696138521272
274,Hermitage Mansion,Wissahickon Valley Park,Hermitage Mansion,Hermitage,The Hermitage,1061,718 HERMIT LN,19128,5000 HERMIT LN,"700 E HERMIT LN;5000 HERMIT LN",BUILDING,OFFICE,Y,STAFF_ONLY,4,6720,4,4,4,5,N, ,478.52734375,89.665888932781
275,Frank JG Dorsey Memorial Recreation Center,Frank JG Dorsey Memorial Playground,Frank J.G. Dorsey Memorial Recreation Center,Dorsey Rec Center,,337,4805 HELLERMAN ST,19135,6501 HEGERMAN ST,"6501 HEGERMAN ST;Hellerman & Edmund;4801 HELLERMAN ST",BUILDING,RECREATION_BUILDING,N,PUBLIC,1,1969,2,2,6,15,Y, ,329.9609375,83.6958339850359
276,Happy Hollow Gym,Happy Hollow Recreation Center, , , ,1530,4800 WAYNE AVE,19144,4740 WAYNE AVE,"4740 WAYNE AVE, Wayne & Logan",BUILDING,RECREATION_BUILDING,N,PUBLIC,0,5244,3,4,8,39,Y, ,831.7734375,121.65922333311
277,Happy Hollow Recreation Center,Happy Hollow Recreation Center,Happy Hollow Recreation Center,Happy Hollow Rec Center, ,1118,4800 WAYNE AVE,19144,4740 WAYNE AVE,"4740 WAYNE AVE, Wayne & Logan",BUILDING,RECREATION_BUILDING,,PUBLIC,0,8284,3,4,8,39,Y, ,696.10546875,133.03160810737
278,Stenton Park Recreation Center,Stenton Park,Stenton Park Recreation Center,Stenton Rec Center, ,928,1699 W COURTLAND ST,19140,4600 N 16TH ST,"16th & Wyoming;4600 N 16TH ST;4601 N 18TH ST",BUILDING,RECREATION_BUILDING,N,PUBLIC,0,2438,3,4,8,35,Y,Building Renovations in 2019,573.68359375,105.809645312633
279,Loudoun Mansion,Loudoun Park,,Loudoun Mansion, ,1062,4650 GERMANTOWN AVE,19144,4650 GERMANTOWN AVE,Germantown & Apsley,BUILDING,MUSEUM,Y,STAFF_ONLY,4,15000,3,4,8,39,N,Part of the Loudoun Mansion Campus. Under Renovation.,538.7578125,101.725659732544
280,Joseph C McIlvain Recreation Center,Joseph C McIlvain Playground,Joseph C McIlvain Recreation Center,McIlvain Rec Center,Frankford Playground,1531,5200 N PENN ST,19124,5200 N PENN ST, ,BUILDING,RECREATION_BUILDING,N,PUBLIC,1,2118,2,2,7,15,Y, ,393.87890625,81.5192850949026
281,Caretaker Residence,Loudoun Park, , , ,1532,4650 GERMANTOWN AVE,19144,4650 GERMANTOWN AVE,Germantown & Apsley,BUILDING,RESIDENTIAL,N,STAFF_ONLY,1,0,3,4,8,39,N,Part of the Loudoun Mansion Campus.,161.85546875,53.8640426722241
282,Concession Building,Joseph C McIlvain Playground, , ,Frankford Playground,61,5200 N PENN ST,19124,5200 N PENN ST, ,BUILDING,CONCESSIONS,N,CONDITIONAL,1,0,2,2,7,15,N, ,192.38671875,59.2892536016759
283,Wissinoming Recreation Center,Wissinoming Park,Wissinoming Recreation Center,Wissinoming Rec Center, ,545,4043 E CHELTENHAM AVE,19135,5801 FRANKFORD AVE,"5801 FRANKFORD AVE;Frankford & Comly;5773 FRANKFORD AVE;5747 FRANKFORD AVE",BUILDING,RECREATION_BUILDING,N,PUBLIC,2,2601,2,2,6,15,Y, ,258.2421875,82.4995562201656
284,Rittenhouse Building 210,Historic Rittenhouse Town, , ,Rittenhouse Town #210,1063,280 RITTENHOUSETOWN LN,19144,NA,"210 RITTENHOUSETOWN LN;210 Lincoln Dr;6014 WISSAHICKON AVE",BUILDING,RESIDENTIAL,N,CONDITIONAL,4,5368,4,4,4,39,N,Located in Wissahickon Valley Park.,216.12109375,69.2310767034895
285,W Freeland Kendrick Recreation Center,W Freeland Kendrick Recreation Center,W. Freeland Kendrick Recreation Center,Kendrick Rec Center, ,671,5878 RIDGE AVE,19128,5822-24 RIDGE AVE,"5822-24 RIDGE AVE, Ridge & Pensdale",BUILDING,RECREATION_BUILDING,N,PUBLIC,0,27684,4,4,4,5,Y, ,2041.1171875,266.721470352092
